X,Y,OBJECTID,stop_name,stop_code,routes_served
-6.26369319271785,53.3522439197041,1,Parnell Square West,2,"38, 38A, 38B, 38D, 46A, 46E"
-6.26378071592073,53.35230811002,2,Granby Place,3,"120, 122"
-6.26416083782558,53.3525653101833,3,Rotunda Hospital,4,"7, 7B, 7D, 8, 9"
-6.2644391557416,53.3527401300415,4,Saint Martin's Chapel,6,4
-6.2645556127194,53.352831710319,5,Rotunda Hospital,7,"13, 140, 40, 40B, 40D"
-6.2653894886964,53.3533831199526,6,Parnell Square West,10,"1, 11, 44"
-6.26436721725305,53.3570983204059,7,Upper Dorset St (St.Joseph's Parade),11,"13, 40, 40B, 40D"
-6.26462023097514,53.3567874099161,8,Upper Dorset St (St.Joseph's Parade),12,"1, 11, 122, 16, 44"
-6.26273109430477,53.3585395603322,9,Lower Dorset Street,14,"1, 11, 122, 13, 16, 40, 40B, 40D, 44"
-6.26097877434046,53.3602487402722,10,Lower Dorset Street,15,"1, 11, 13, 16, 33, 40, 40B, 40D, 41, 41B, 41C, 44"
-6.30562813241474,53.3664187201638,11,John Paul Park,16,122
-6.25839965491051,53.363069339833,12,Outside Train Station,17,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.25592715198535,53.3658464997221,13,Lower Drumcondra Road,18,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.2554988499295,53.3671345300691,14,Lower Drumcondra Road,19,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.25429594687376,53.370091999568,15,Saint Patrick's College,21,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.25278873209221,53.3735033898359,16,Home Farm Road (Achill Road),22,11
-6.25624598332332,53.3742280597091,17,Ferguson Road,23,11
-6.26034230573374,53.3751327200719,18,Home Farm Road,24,11
-6.26361773623431,53.3758994697384,19,Rathlin Road,25,11
-6.26657023853706,53.3794387400268,20,Ballymun Road (Griffith Avenue),27,"11, 13, 4, 9"
-6.26598724719646,53.3815784202597,21,Glasnevin Tennis Club,28,"11, 13, 4, 9"
-6.26566910132714,53.3834882502489,22,Ballymun Road,29,"11, 13, 4, 9"
-6.30457148630097,53.3703224895843,23,Pope John Paul II Park,30,120
-6.2688430520669,53.3860330097913,24,Maolbuille Road,31,11
-6.27137720093216,53.3861955698683,25,Saint Pappin's Road,32,11
-6.2717561149754,53.3887177103383,26,Glasnevin Drive,33,11
-6.27091069239532,53.3862067897941,27,Dean Swift Road,35,11
-6.26787706974687,53.386126850409,28,Saint Pappin's Road,36,11
-6.26487195656561,53.3853461800817,29,DCU Ballymun Road,37,"11, 13, 4, 9"
-6.26549449725037,53.3822363803245,30,Ballymun Road,38,"11, 13, 4, 9"
-6.26564373586103,53.3804139704222,31,Ballymun Road (Griffith Avenue),39,"11, 13, 4, 9"
-6.26466896830874,53.37666076994,32,Mobhi Road,40,"11, 4, 9"
-6.2618429848535,53.3755590495545,33,Home Farm Road,41,11
-6.25744616886631,53.3746500496442,34,Ferguson Road,42,11
-6.25387126904283,53.3738607797934,35,Home Farm Road (Achill Road),43,11
-6.25211728278474,53.3730171900309,36,Homefarm Road,44,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.25413918363568,53.3698829802523,37,Upper Drumcondra Road,45,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.25536295064241,53.3671505204391,38,Botanic Avenue,46,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.25728360579787,53.3639069196355,39,Near Train Station,47,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.25876079824711,53.3623196102152,40,Lower Drumcondra Road,48,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.26087035346656,53.3599595402278,41,Lower Dorset Street,49,"1, 11, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.26327120720096,53.3578193897879,42,Upper Dorset St (Temple Street),51,"1, 11, 122, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.26453598247003,53.3566423796038,43,Upper Dorset St (St.Joseph's Parade),52,"1, 11, 122, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.26282241702976,53.3599879800101,44,North Circular Road (Lower Dorset Street),53,122
-6.26555056886592,53.3601445098484,45,North Circular Road (Mater Hospital),54,122
-6.26845456348565,53.3604113904157,46,Mater Hospital Mortuary,55,122
-6.27644873617746,53.3607608099802,47,Cabra Road (North Circular Road),56,"120, 122"
-6.27659889882766,53.3607629796971,48,Cabra Road (North Circular Road),57,"38, 38A, 38B, 38D"
-6.28118954749061,53.3609370503302,49,Cabra Road (Charleville Road),58,"120, 122, 38, 38A, 38B, 38D"
-6.28486495538746,53.3610798102766,50,Cabra Road (near Annamoe Terrace),59,"122, 38, 38A, 38B, 38D"
-6.28924616714272,53.3612325802732,51,Cabra Road (Quarry Road),60,"122, 38, 38A, 38B, 38D"
-6.29273508961389,53.3667922197377,52,Faussagh Avenue,63,122
-6.29521812241122,53.3670793801124,53,Faussagh Avenue (Church),64,122
-6.29803661566303,53.3672454498119,54,Faussagh Avenue (Dingle Road),65,122
-6.30085978025395,53.3672946704026,55,Faussagh Avenue (Dingle Road),66,122
-6.30423057212684,53.369068309876,56,Ventry Drive,68,120
-6.30332705359002,53.3713833703027,57,Ventry Park Estate,69,120
-6.3044241423576,53.3702484902826,58,Pope John Paul II Park,71,120
-6.30423485391153,53.36896051983,59,Ventry Drive,72,120
-6.30070565979482,53.3673913397647,60,Faussagh Avenue (Dingle Road),73,122
-6.29545519269564,53.3671636597625,61,Faussagh Avenue (Church),74,122
-6.29130266050579,53.3665380301615,62,Faussagh Avenue,75,120
-6.28955863560336,53.3613089702507,63,Cabra Road (Quarry Road),77,"122, 38, 38A, 38B, 38D"
-6.28397645858325,53.3611299502158,64,Cabra Road (near Annamoe Terrace),78,"122, 38, 38A, 38B, 38D"
-6.28078085092564,53.3610120499757,65,Cabra Road (Charleville Road),79,"120, 122, 38, 38A, 38B, 38D"
-6.27605432414661,53.3608539804373,66,Cabra Road (North Circular Road),80,"120, 122, 38, 38A, 38B, 38D"
-6.27195161064346,53.3608755295489,67,North Circular Road (Phibsborough Road),81,46A
-6.27166957375287,53.3607905504077,68,Royal Canal Bank,82,"120, 122, 38, 38A, 38B, 38D"
-6.26554546087231,53.3602702697304,69,North Circular Road (Mater Hospital),83,122
-6.26370214575955,53.3601535797164,70,North Circular Road (Leo Street),84,122
-6.251855554131,53.3739031799386,71,Homefarm Road,85,"1, 13, 16, 33, 41, 41B, 41C, 44"
-6.25115136918091,53.3760500003411,72,Garda Station,86,13
-6.25486526798368,53.3767515104107,73,Sherkin Gardens,87,13
-6.2576691845995,53.3772868202936,74,Walnut Rise,88,13
-6.26156210533229,53.378026679672,75,Griffith Avenue (Lambay Road),89,13
-6.26525064767054,53.386385309708,76,Ballymun Road (St.Pappin's Road),90,"13, 4, 9"
-6.2653931161623,53.3884276703896,77,Ballymun Road (Glasnevin Avenue),91,"13, 4, 9"
-6.26465921373677,53.3898371200858,78,Ballymun Library,92,"13, 17A, 4"
-6.26415334092832,53.3922924904081,79,Ballymun Road (Opp Shanlis Road),93,"13, 17A, 4"
-6.26437696002754,53.3960347597149,80,Civic Centre,94,"13, 17A, 4"
-6.26770519257164,53.3977638702309,81,Balbutcher Lane (Árd Na Meala),102,"13, 220"
-6.27660470352457,53.3996992697216,82,Balbutcher Lane (Carrig Road),104,"13, 220"
-6.2817531830256,53.4029282801601,83,Balbutcher Lane (Cranogue Road),105,"13, 220"
-6.27966858726092,53.4020354097297,84,Balbutcher Lane (Cranogue Road),107,"13, 220"
-6.27670591998548,53.3997995999855,85,Knowth Court,108,13
-6.2686755279252,53.3979397299494,86,Balbutcher Lane (Árd Na Meala),110,"13, 220"
-6.26396643444471,53.3961456400782,87,Civic Centre,112,"13, 17A, 4"
-6.26368822753541,53.3922677398491,88,Comprehensive School,113,"13, 17A, 4"
-6.26371122928888,53.391333320256,89,Ballymun Road (Shanliss Road),114,"104, 13, 4"
-6.26503719658201,53.3879371401717,90,Ballymun Road (Albert College Drive),115,"13, 4, 9"
-6.25965171783986,53.3776932397942,91,Griffith Lawns,116,13
-6.25753068635061,53.377365690101,92,Walnut Rise,117,13
-6.25356205526988,53.3766425602657,93,Sherkin Gardens,118,13
-6.25081522645704,53.3750833498005,94,Upper Drumcondra Road (Griffith Avenue),119,"1, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.26408696037756,53.3990954702766,95,Nursing Home,126,"17A, 4"
-6.26366539861368,53.3991073100763,96,Silver Swan Nursing Home,127,"17A, 4"
-6.26582313251082,53.3893147500895,97,Glasnevin Avenue (Ballymun Road),128,17A
-6.27140790948234,53.3898900996363,98,Glasnevin Ave (Glasnevin Dr),129,"17A, 9"
-6.27416624263689,53.3900917999899,99,Glasnevin Park,130,"17A, 9"
-6.27834923693578,53.3903858902604,100,Glasnevin Avenue (Beneavin Drive),131,"17A, 9"
-6.28264579789949,53.3904747501405,101,Beneavin Park,132,17A
-6.28628684338126,53.3907877299124,102,Grove Park Road,133,"83, 83A"
-6.28605883749769,53.393094380039,103,Sycamore Road (Willow Park Crescent),134,"83, 83A"
-6.28985659653606,53.3943801995908,104,McKee Road,136,"220, 9"
-6.2926157674594,53.3923165001935,105,Clancy Avenue,137,"220, 9"
-6.29233574280043,53.389921689604,106,Saint Canice's School,138,"17A, 83, 83A, 9"
-6.28644469046202,53.3906012502999,107,Glasnevin Avenue,139,17A
-6.28235305482528,53.3906503002725,108,Beneavin Park,140,17A
-6.27807621785303,53.3904448701182,109,Glasnevin Avenue (Beneavin Drive),141,"17A, 9"
-6.27416224485638,53.3901906096725,110,Glasnevin Park,142,"17A, 9"
